fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
73,1.07,0.09,17,0.178,10,89,0.9962,33,0.57,9,5,Red
68,0.63,0.07,21,0.089,11,44,0.9953,347,0.55,104,6,Red
119,0.58,0.58,19,0.071,5,18,0.998,309,0.63,10,6,Red
71,0.22,0.49,18,0.039,8,18,0.99344,339,0.56,124,6,Red
67,0.3,0.29,NA,0.025,37,107,0.99159,331,0.63,113,7,White
8,0.28,0.42,NA,0.045,41,169,0.9959,317,0.43,106,5,White
77,0.28,0.33,NA,0.037,32,155,0.9951,339,0.62,107,7,White
62,0.56,0.09,17,0.053,24,32,0.99402,354,0.6,113,5,Red
64,0.2,0.15,NA,0.046,26,113,0.99408,299,0.58,99,6,White
85,0.19,0.56,NA,0.055,47,169,1.00047,307,0.67,93,6,White
5,0.4,0.5,43,0.046,29,80,0.9902,349,0.66,136,6,Red
63,0.41,0.33,NA,0.023,28,110,0.991,33,0.38,125,7,White
99,1.005,0.46,NA,0.046,34,185,0.9966,302,0.49,102,4,White
62,0.33,0.14,NA,0.052,27,128,0.99475,321,0.48,94,5,White
6,0.26,0.5,NA,0.048,59,153,0.9928,308,0.61,98,5,White
58,0.29,0.05,NA,0.038,11,30,0.9924,336,0.35,92,5,White
69,0.27,0.4,14,0.05,64,227,0.9979,318,0.58,96,6,White
123,0.39,0.63,23,0.091,6,18,1.0004,316,0.49,95,5,Red
74,0.25,0.36,NA,0.067,53,178,0.9976,301,0.48,9,6,White
65,0.29,0.3,NA,0.051,25,166,0.99339,324,0.56,1135,6,White
119,0.38,0.49,27,0.098,12,42,1.0004,316,0.61,103,5,Red
52,0.22,0.46,NA,0.066,41,187,0.99362,319,0.42,973333300000000,5,White
61,0.28,0.24,NA,0.074,32,174,0.99922,319,0.44,93,6,White
75,0.57,0.02,26,0.077,11,35,0.99557,336,0.62,108,6,Red
61,0.6,0,NA,0.042,24,79,0.9937,331,0.38,94,4,White
67,0.19,0.32,NA,0.041,26,76,0.99173,29,0.57,105,7,White
64,0.64,0.21,18,0.081,14,31,0.99689,359,0.66,98,5,Red
64,0.28,0.36,NA,0.053,28,186,0.99211,331,0.45,108,5,White
5,0.455,0.18,NA,0.036,33,106,0.98746,321,0.83,14,7,White
62,0.15,0.27,11,0.035,46,116,0.99602,312,0.38,91,6,White
7,0.17,0.42,1,0.075,19,71,0.99103,332,0.62,114,6,White
7,0.53,0.02,1,0.036,39,107,0.993,32,0.32,9,5,White
68,0.27,0.28,NA,0.076,50,163,0.9979,303,0.38,86,6,White
62,0.36,0.24,22,0.095,19,42,0.9946,357,0.57,117,6,Red
65,0.26,0.5,8,0.051,46,197,0.99536,318,0.47,95,5,White
79,0.26,0.41,NA,0.04,38,216,0.9976,296,0.6,10,6,White
71,0.44,0.27,NA,0.057,60,160,0.99257,316,0.36,118,6,White
67,0.13,0.29,NA,0.051,31,122,0.9944,344,0.37,97,6,White
77,0.39,0.3,NA,0.037,29,131,0.9943,338,0.44,11,6,White
64,0.25,0.28,NA,0.03,29,98,0.99024,309,0.58,128,7,White
72,0.26,0.32,NA,0.062,23,114,0.9966,323,0.49,105,5,White
7,0.33,0.78,NA,0.042,21,251,0.99435,301,0.55,11,6,White
71,0.21,0.35,NA,0.04,41,186,0.99128,332,0.56,125,6,White
64,0.23,0.39,NA,0.032,23,118,0.9912,332,0.5,118,6,White
7,0.48,0.12,NA,0.05,23,86,0.99398,286,0.35,9,5,White
61,0.21,0.38,NA,0.039,37,122,0.98972,32,0.43,12,6,White
114,0.26,0.44,36,0.071,6,19,0.9986,312,0.82,93,6,Red
7,0.26,0.26,NA,0.039,37,184,0.99787,347,0.58,103,7,White
63,0.48,0.48,NA,0.035,35,96,0.99121,349,0.74,122,6,White
71,0.31,0.3,22,0.053,36,127,0.9965,294,1.62,95,5,Red
6,0.27,0.27,NA,0.046,32,113,0.9924,341,0.51,105,7,White
76,0.645,0.03,19,0.086,14,57,0.9969,337,0.46,103,5,Red
92,0.41,0.5,25,0.055,12,25,0.9952,334,0.79,133,7,Red
78,0.28,0.49,NA,0.046,27,142,0.9936,309,0.59,102,5,White
61,0.44,0.28,NA,0.032,43,132,0.9916,326,0.47,113,7,White
66,0.39,0.38,NA,0.053,49,226,0.99787,33,0.57,94,6,White
76,0.17,0.45,NA,0.054,56,137,0.997,315,0.47,10,5,White
105,0.51,0.64,24,0.107,6,15,0.9973,309,0.66,118,7,Red
62,0.22,0.28,NA,0.04,24,125,0.9917,319,0.48,105,6,White
74,0.15,0.42,NA,0.045,49,154,0.992,3,0.6,104,6,White
74,0.21,0.8,NA,0.038,77,183,0.99778,295,0.48,9,5,White
71,0.72,0,18,0.123,6,14,0.99627,345,0.58,98,5,Red
74,0.21,0.27,NA,0.041,27,99,0.9927,319,0.33,98,6,White
68,0.41,0.3,NA,0.045,28,131,0.9953,312,0.59,99,5,White
7,0.23,0.33,NA,0.04,25,136,0.995,319,0.58,95,6,White
74,0.18,0.42,NA,0.036,33,187,0.9938,34,0.41,106,7,White
56,0.5,0.09,23,0.049,17,99,0.9937,363,0.63,13,5,Red
57,0.27,0.16,9,0.053,32,111,0.99474,336,0.37,104,6,White
74,0.2,0.36,NA,0.038,44,111,0.9926,336,0.34,99,6,White
64,0.3,0.38,NA,0.046,35,192,0.9955,31,0.37,9,5,White
57,0.18,0.22,NA,0.042,25,111,0.994,335,0.39,94,5,White
68,0.22,0.41,NA,0.034,39,116,0.99245,318,0.46,115,6,White
78,0.53,0.01,16,0.077,3,19,0.995,316,0.46,98,5,Red
82,0.27,0.43,NA,0.035,31,128,0.9916,31,0.5,123,6,White
75,0.33,0.48,NA,0.048,55,243,1.001,295,0.4,88,5,White
68,0.17,0.32,NA,0.04,35,106,0.99026,316,0.66,12,5,White
62,0.25,0.21,NA,0.039,28,159,0.9982,348,0.64,96,6,White
6,0.13,0.36,NA,0.052,23,72,0.98974,31,0.5,115,7,White
6,0.28,0.24,NA,0.047,42,111,0.99896,31,0.45,89,6,White
75,0.29,0.67,NA,0.037,53,166,0.9966,29,0.41,89,6,White
7,0.26,0.59,NA,0.037,40,120,0.9918,334,0.41,111,7,White
84,0.27,0.46,NA,0.048,39,197,0.9974,314,0.59,96,6,White
54,0.53,0.16,NA,0.036,34,128,0.98856,32,0.53,132,8,White
111,0.44,0.42,22,0.064,14,19,0.99758,325,0.57,104,6,Red
96,0.77,0.12,29,0.082,30,74,0.99865,33,0.64,104,6,Red
72,0.27,0.28,NA,0.046,6,41,0.99665,317,0.39,109,6,White
65,0.3,0.39,NA,0.038,61,219,0.9959,319,0.5,94,5,White
63,0.2,0.58,NA,0.204,15,97,0.9931,316,0.43,10,6,White
61,0.6,0.08,18,0.071,14,45,0.99336,338,0.54,11,5,Red
5,0.24,0.19,5,0.043,17,101,0.99438,367,0.57,10,5,White
61,0.28,0.27,NA,0.03,56,140,0.99042,316,0.42,125,8,White
75,0.24,0.62,NA,0.045,51,153,0.99779,316,0.44,88,5,White
68,0.17,0.17,NA,0.049,26,82,0.993,3,0.38,98,6,White
69,0.48,0.36,NA,0.03,31,135,0.9904,314,0.38,122,7,White
57,0.22,0.2,16,0.044,41,113,0.99862,322,0.46,89,6,White
74,0.21,0.27,NA,0.041,27,99,0.9927,319,0.33,98,6,White
68,0.63,0.04,NA,0.058,25,133,0.99271,317,0.39,102,4,White
63,0.41,0.22,NA,0.035,23,117,0.99172,32,0.39,1194,7,White
8,0.33,0.53,25,0.091,18,80,0.9976,337,0.8,96,6,Red
6,0.33,0.38,NA,0.04,29,124,0.9954,347,0.48,11,6,White
68,0.28,0.29,NA,0.052,51,149,0.99544,302,0.58,104,6,White
74,0.3,0.3,NA,0.053,45,163,0.9941,312,0.45,103,6,White
76,0.54,0.13,25,0.097,24,66,0.99785,339,0.61,94,5,Red
64,0.105,0.29,NA,0.035,44,140,0.99142,317,0.55,107,7,White
95,0.37,0.52,2,0.082,6,26,0.998,318,0.51,95,5,Red
83,0.845,0.01,22,0.07,5,14,0.9967,332,0.58,11,4,Red
9,0.26,0.34,NA,0.029,21,162,0.99497,308,0.5,106,6,White
75,0.25,0.32,NA,0.024,53,209,0.99563,312,0.46,108,6,White
73,0.2,0.29,NA,0.039,69,237,1.00037,31,0.48,92,6,White
69,0.24,0.23,NA,0.041,20,97,0.99246,31,0.85,114,6,White
52,0.28,0.29,NA,0.028,18,69,0.99168,324,0.54,10,6,White
69,0.4,0.22,NA,0.081,76,303,0.99705,34,0.57,94,5,White
69,0.19,0.31,NA,0.043,38,167,0.99954,293,0.52,91,7,White
76,0.28,0.39,NA,0.038,21,115,0.994,316,0.67,10,6,White
58,0.27,0.27,NA,0.045,55,170,0.9972,328,0.42,93,6,White
64,0.3,0.27,NA,0.055,17,135,0.9925,323,0.44,122,6,White
71,0.18,0.32,NA,0.048,36,125,0.9967,292,0.54,94,6,White
73,0.34,0.3,NA,0.057,34,178,0.99554,315,0.44,104,6,White
98,0.44,0.4,NA,0.036,35,167,0.9956,297,0.39,92,5,White
64,0.23,0.27,NA,0.042,35,100,0.99094,303,0.63,109,6,White
77,0.29,0.29,NA,0.06,27,156,0.99572,349,0.59,103,6,White
65,0.37,0.3,NA,0.033,39,107,0.98894,322,0.53,135,7,White
81,0.3,0.31,NA,0.041,49,123,0.9914,299,0.45,111,6,White
75,0.41,0.15,37,0.104,29,94,0.99786,314,0.58,91,5,Red
65,0.22,0.45,8,0.053,52,196,0.9959,323,0.48,91,6,White
62,0.2,0.31,1,0.031,22,73,0.99035,324,0.52,113,6,White
68,0.34,0.27,NA,0.06,14,169,0.99252,327,0.57,116,6,White
76,0.9,0.06,25,0.079,5,10,0.9967,339,0.56,98,5,Red
7,0.29,0.49,NA,0.047,37,136,0.9938,295,0.4,94,6,White
8,0.45,0.28,NA,0.051,25,157,0.9957,306,0.47,114,7,White
72,0.26,0.38,NA,0.061,12,120,0.99192,318,0.46,104,5,White
54,0.415,0.19,NA,0.039,27,88,0.99265,354,0.41,10,7,White
74,0.16,0.32,NA,0.065,23,140,0.99134,306,0.47,114,6,White
8,0.25,0.49,NA,0.061,27,117,0.9938,308,0.34,94,5,White
88,0.955,0.05,18,0.075,5,19,0.99616,33,0.44,96,4,Red
84,0.29,0.4,17,0.067,8,20,0.99603,339,0.6,105,5,Red
66,0.29,0.29,NA,0.036,38,102,0.98819,308,0.42,137,7,White
72,0.32,0.47,NA,0.044,19,65,0.991,303,0.41,126,4,White
94,0.4,0.31,22,0.09,13,62,0.9966,307,0.63,105,6,Red
78,0.29,0.36,7,0.042,38,161,0.9941,326,0.37,112,8,White
79,0.18,0.49,NA,0.051,36,157,0.9953,318,0.48,106,6,White
62,0.53,0.02,NA,0.035,6,81,0.99234,324,0.35,95,4,White
67,0.46,0.24,17,0.077,18,34,0.9948,339,0.6,106,6,Red
58,0.2,0.27,NA,0.031,12,77,0.9905,325,0.36,109,7,White
78,0.815,0.01,26,0.074,48,90,0.99621,338,0.62,108,5,Red
8,0.18,0.37,9,0.049,36,109,0.99007,289,0.44,127,6,Red
83,0.26,0.42,2,0.08,11,27,0.9974,321,0.8,94,6,Red
64,0.57,0.02,18,0.067,4,11,0.997,346,0.68,95,5,Red
61,0.17,0.27,NA,0.056,45,135,0.9924,32,0.43,102,6,White
71,0.59,0.02,23,0.082,24,94,0.99744,355,0.53,97,6,Red
68,0.24,0.4,NA,0.047,34,105,0.99,313,0.49,128,8,White
68,0.14,0.18,NA,0.047,30,90,0.99164,327,0.54,112,6,White
106,0.36,0.6,22,0.152,7,18,0.9986,304,1.06,94,5,Red
68,0.18,0.28,NA,0.039,29,113,0.99406,311,0.45,109,7,White
65,0.44,0.49,NA,0.045,16,169,0.9957,311,0.37,87,6,White
67,0.43,0.23,5,0.157,49,145,0.99471,317,0.49,94,5,White
61,0.19,0.25,4,0.023,23,112,0.9923,337,0.51,116,6,White
68,0.18,0.37,NA,0.027,37,93,0.992,33,0.45,108,6,White
8,0.22,0.32,NA,0.043,63,201,0.997,311,0.53,95,6,White
74,0.25,0.37,NA,0.06,52,192,0.9975,3,0.44,91,5,White
75,0.63,0.12,51,0.111,50,110,0.9983,326,0.77,94,5,Red
84,0.17,0.31,NA,0.052,47,150,0.9953,324,0.38,98,5,White
71,0.27,0.6,21,0.074,17,25,0.99814,338,0.72,106,6,Red
79,0.34,0.44,NA,0.027,47,126,0.99124,296,0.37,125,6,White
64,0.18,0.74,NA,0.046,54,168,0.9978,358,0.68,101,5,White
7,0.21,0.28,NA,0.045,37,222,0.9954,325,0.54,104,6,White
69,0.15,0.29,NA,0.033,14,82,0.99132,31,0.58,112,7,White
62,0.35,0.2,NA,0.069,33,158,0.99908,315,0.5,88,6,White
74,0.41,0.66,NA,0.051,77,194,0.9976,305,0.46,87,5,White
9,0.29,0.34,NA,0.03,34,177,0.99706,313,0.47,106,5,White
59,0.44,0.33,NA,0.049,12,117,0.99134,346,0.44,115,5,White
68,0.26,0.34,NA,0.034,39,134,0.9949,333,0.53,12,6,White
99,0.57,0.25,2,0.104,12,89,0.9963,304,0.9,101,5,Red
83,0.2,0.49,NA,0.038,38,167,0.9939,305,0.37,101,6,White
107,0.4,0.37,19,0.081,17,29,0.99674,312,0.65,112,6,Red
9,0.46,0.31,28,0.093,19,98,0.99815,332,0.63,95,6,Red
68,0.22,0.31,NA,0.035,33,170,0.9918,324,0.66,126,6,White
65,0.26,0.34,NA,0.04,25,184,0.99216,329,0.46,107,5,White
49,0.42,0,21,0.048,16,42,0.99154,371,0.74,14,7,Red
6,0.28,0.24,NA,0.047,42,111,0.99896,31,0.45,89,6,White
64,0.28,0.44,NA,0.048,49,179,0.99528,315,0.48,92,5,White
68,0.25,0.18,NA,0.056,13,137,0.9935,311,0.42,95,5,White
85,0.21,0.26,NA,0.034,73,142,0.9945,305,0.37,114,6,White
73,0.22,0.37,NA,0.048,70,203,0.99899,325,0.77,94,5,White
62,0.45,0.2,16,0.069,3,15,0.9958,341,0.56,92,5,Red
68,0.3,0.24,NA,0.123,35,116,0.9953,307,0.48,94,5,White
68,0.32,0.43,NA,0.05,4,65,0.99346,327,0.47,107,5,White
142,0.27,0.49,NA,0.037,33,156,0.992,315,0.54,111,6,White
64,0.475,0.06,1,0.03,9,131,0.9904,297,0.29,108,5,White
58,0.58,0,NA,0.02,33,96,0.98918,329,0.38,124,6,White
57,0.22,0.25,NA,0.05,97,175,0.99099,344,0.62,111,6,White
69,0.25,0.26,NA,0.024,36,135,0.9948,316,0.72,107,7,White
64,0.25,0.41,NA,0.042,57,173,0.9965,3,0.44,91,5,White
79,0.69,0.21,21,0.08,33,141,0.9962,325,0.51,99,5,Red
64,0.28,0.22,NA,0.039,51,150,0.99535,323,0.43,107,6,White
104,0.41,0.55,32,0.076,22,54,0.9996,315,0.89,99,6,Red
68,0.14,0.35,NA,0.047,40,117,0.99111,307,0.72,111,6,White
92,0.23,0.3,NA,0.031,40,99,0.9929,294,0.3,104,6,White
67,0.24,0.41,NA,0.04,49,166,0.9954,312,0.61,99,6,White
64,0.28,0.19,NA,0.042,67,181,0.99435,331,0.35,102,6,White
69,0.52,0.25,26,0.081,10,37,0.99685,346,0.5,11,5,Red
68,0.26,0.44,NA,0.046,52,183,0.99584,32,0.51,94,5,White
74,0.3,0.32,NA,0.03,23,128,0.9929,317,0.66,109,5,White
69,0.35,0.55,NA,0.038,22,111,0.99687,311,0.29,97,5,White
74,0.16,0.27,NA,0.05,25,135,0.9984,29,0.43,87,7,White
75,0.18,0.45,NA,0.041,67,158,0.9927,301,0.38,106,6,White
64,0.25,0.32,NA,0.049,41,176,0.995,319,0.68,92,6,White
51,0.25,0.36,NA,0.035,40,78,0.9891,323,0.64,121,7,White
66,0.26,0.22,NA,0.05,23,139,0.99904,306,0.5,92,5,White
7,0.21,0.22,NA,0.048,38,168,0.9945,334,0.49,104,6,White
76,0.39,0.22,NA,0.036,19,113,0.9926,303,0.29,102,5,White
71,0.31,0.17,1,0.042,21,144,0.99304,313,0.4,96,5,White
88,0.4,0.4,22,0.079,19,52,0.998,344,0.64,92,5,Red
6,0.22,0.25,NA,0.056,112,177,0.9961,308,0.36,94,6,White
62,0.16,0.32,NA,0.036,74,184,0.99096,322,0.41,11,6,White
116,0.41,0.54,15,0.095,22,41,0.99735,302,0.76,99,7,Red
87,0.48,0.3,28,0.066,10,28,0.9964,333,0.67,112,7,Red
63,0.39,0.22,NA,0.048,53,173,0.99304,324,0.45,98,5,White
69,0.29,0.4,NA,0.043,36,156,0.9996,293,0.47,89,5,White
71,0.25,0.31,NA,0.05,32,156,0.9914,314,0.51,114,6,White
71,0.2,0.37,NA,0.049,28,129,0.99226,315,0.52,108,5,White
78,0.28,0.32,9,0.036,34,115,0.9952,317,0.39,103,7,White
57,0.25,0.27,NA,0.04,24,120,0.99411,333,0.31,108,6,White
61,0.37,0.36,NA,0.035,36,116,0.991,331,0.62,126,6,White
68,0.27,0.3,13,0.047,69,160,0.99705,316,0.5,96,6,White
84,0.27,0.3,NA,0.037,36,129,0.99085,289,0.3,114666700000000,6,White
66,0.42,0.33,NA,0.034,15,85,0.99,328,0.51,134,6,White
64,0.18,0.31,NA,0.049,36,127,0.9934,36,0.67,104,7,White
73,0.18,0.29,1,0.036,26,101,0.99,309,0.37,117,6,White
6,0.28,0.52,5,0.078,30,139,0.99494,31,0.36,9,6,White
65,0.88,0.03,56,0.079,23,47,0.99572,358,0.5,112,4,Red
85,0.28,0.56,18,0.092,35,103,0.9969,33,0.75,105,7,Red
89,0.48,0.53,4,0.101,3,10,0.99586,321,0.59,121,7,Red
85,0.24,0.47,NA,0.057,40,234,1.0005,302,0.66,9,5,White
73,0.34,0.21,NA,0.05,14,136,0.9936,325,0.44,102,5,White
6,0.42,0.19,2,0.075,22,47,0.99522,339,0.78,10,6,Red
68,0.3,0.35,NA,0.038,10,164,0.9912,309,0.53,12,6,White
62,0.25,0.42,8,0.049,53,206,0.99586,316,0.47,91,6,White
66,0.23,0.32,NA,0.024,26,102,0.99084,329,0.6,118,6,White
65,0.51,0.25,NA,0.048,39,177,0.99212,328,0.57,106,5,White
101,0.27,0.54,23,0.065,7,26,0.99531,317,0.53,125,6,Red
64,0.17,0.3,NA,0.034,33,125,0.99152,303,0.49,104,6,White
102,0.24,0.49,24,0.075,10,28,0.9978,314,0.61,104,5,Red
82,0.18,0.49,NA,0.033,28,81,0.9923,3,0.68,104,7,White
7,0.24,0.3,NA,0.04,41,213,0.9927,328,0.49,118,6,White
72,0.25,0.32,NA,0.047,27,132,0.9933,326,0.44,105,5,White
74,0.32,0.55,NA,0.056,53,238,1.0017,296,0.58,87,6,White
84,0.31,0.31,NA,0.021,52,148,0.99038,293,0.32,115,5,White
69,0.2,0.5,10,0.036,78,167,0.9964,315,0.55,102,6,White
68,0.21,0.27,NA,0.042,41,146,1.0001,33,0.36,87,5,White
63,0.24,0.35,NA,0.039,43,109,0.99056,334,0.44,118,6,White
75,0.31,0.51,NA,0.039,62,204,0.9982,306,0.6,95,5,White
52,0.6,0.07,7,0.044,33,147,0.9944,333,0.58,97,5,White
75,0.17,0.32,NA,0.04,51,148,0.9916,321,0.44,115,7,White
82,0.34,0.29,NA,0.076,19,92,0.99138,295,0.39,125,6,White
58,0.15,0.32,NA,0.037,14,119,0.99137,319,0.5,102,6,White
62,0.2,0.33,NA,0.028,21,75,0.99012,336,0.41,135,7,White
119,0.58,0.66,25,0.072,6,37,0.9992,305,0.56,10,5,Red
78,0.49,0.49,7,0.043,29,149,0.9952,321,0.33,10,5,White
79,0.51,0.25,29,0.077,21,45,0.9974,349,0.96,121,6,Red
63,0.4,0.32,NA,0.049,38,209,0.9981,347,0.59,93,6,White
65,0.08,0.33,NA,0.028,23,93,0.991,334,0.7,12,7,White
72,0.57,0.05,23,0.081,16,36,0.99564,338,0.6,103,6,Red
66,0.17,0.35,NA,0.03,33,78,0.99146,322,0.72,113,6,White
75,0.22,0.33,NA,0.036,45,138,0.9939,32,0.68,114,6,White
61,0.27,0.3,NA,0.039,49,172,0.99985,34,0.45,94,5,White
7,0.65,0.02,21,0.066,8,25,0.9972,347,0.67,95,6,Red
52,0.49,0.26,23,0.09,23,74,0.9953,371,0.62,122,6,Red
64,0.57,0.12,23,0.12,25,36,0.99519,347,0.71,113,7,Red
76,0.39,0.32,NA,0.035,22,93,0.99144,308,0.6,125,7,White
67,0.31,0.3,NA,0.038,18,130,0.9928,336,0.63,106,6,White
61,0.27,0.31,NA,0.034,42,137,0.99218,324,0.46,109,6,White
56,0.54,0.04,17,0.049,5,13,0.9942,372,0.58,114,5,Red
66,0.735,0.02,79,0.122,68,124,0.9994,347,0.53,99,5,Red
71,0.18,0.39,NA,0.047,45,158,0.99946,334,0.77,91,6,White
78,0.43,0.49,13,0.033,37,158,0.9955,314,0.35,113,6,White
56,0.24,0.34,2,0.041,14,73,0.98981,304,0.45,116,7,White
116,0.41,0.58,28,0.096,25,101,1.00024,313,0.53,10,5,Red
76,0.29,0.49,27,0.092,25,60,0.9971,331,0.61,101,6,Red
7,0.29,0.33,NA,0.041,20,117,0.99048,321,0.5,114,5,White
6,0.24,0.41,NA,0.036,42,118,0.99018,304,0.64,117333300000000,6,White
75,0.19,0.4,NA,0.056,50,110,0.9954,306,0.52,99,6,White
66,0.41,0.27,NA,0.11,20,103,0.99672,308,0.41,9,6,White
54,0.74,0.09,17,0.089,16,26,0.99402,367,0.56,116,6,Red
69,0.2,0.34,NA,0.043,25,136,0.9935,331,0.6,101,4,White
77,0.3,0.42,NA,0.045,45,213,0.9991,318,0.63,92,5,White
8,0.22,0.28,14,0.053,83,197,0.9981,314,0.45,98,6,White
57,0.265,0.28,NA,0.036,46,150,0.99299,336,0.44,108,7,White
6,0.16,0.27,12,0.03,39,98,0.99402,315,0.34,108,5,White
86,0.49,0.28,19,0.11,20,136,0.9972,293,1.95,99,6,Red
68,0.23,0.42,NA,0.044,56,189,0.9958,322,0.48,93,6,White
75,0.26,0.38,NA,0.021,23,125,0.99338,313,0.62,111,6,White
68,0.56,0.22,18,0.074,15,24,0.99438,34,0.82,112,6,Red
64,0.37,0.12,NA,0.056,6,91,0.99536,306,0.46,84,4,White
66,0.22,0.37,NA,0.035,62,153,0.99845,302,0.4,93,5,White
88,0.6,0.29,22,0.098,5,15,0.9988,336,0.49,91,5,Red
6,0.18,0.31,NA,0.036,14,75,0.99085,334,0.58,111,8,White
63,0.24,0.29,NA,0.035,53,134,0.99567,317,0.38,106,6,White
74,0.49,0.27,21,0.071,14,25,0.99388,335,0.63,12,6,Red
62,0.65,0.06,16,0.05,6,18,0.99348,357,0.54,1195,5,Red
62,0.24,0.27,NA,0.039,30,123,0.98959,312,0.37,128,6,White
83,0.25,0.33,NA,0.053,12,72,0.99404,289,0.48,95,5,White
64,0.42,0.19,NA,0.043,28,145,0.99433,323,0.53,1098,5,White
65,0.53,0.06,2,0.063,29,44,0.99489,338,0.83,103,6,Red
62,0.1,0.41,1,0.04,17,76,0.98988,314,0.56,114,7,White
73,0.27,0.39,NA,0.064,28,188,0.9958,329,0.3,97,5,White
76,0.35,0.6,26,0.073,23,44,0.99656,338,0.79,111,6,Red
68,0.22,0.35,NA,0.039,38,153,0.9994,324,0.42,9,6,White
63,0.22,0.22,NA,0.039,31,128,0.99296,312,0.46,104,6,White
79,0.16,0.3,NA,0.05,58,152,0.99612,312,0.37,95,6,White
72,0.34,0.23,NA,0.105,22,155,0.99692,301,0.58,95,5,White
56,0.15,0.31,NA,0.038,8,79,0.9923,33,0.39,105,6,White
68,0.4,0.29,NA,0.044,27,97,0.9904,312,0.42,112,6,White
81,0.17,0.21,NA,0.036,24,119,0.99396,318,0.52,101,6,White
69,0.4,0.24,25,0.083,30,45,0.9959,326,0.58,10,5,Red
51,0.165,0.22,NA,0.047,42,146,0.9934,318,0.55,99,6,White
55,0.42,0.09,NA,0.019,18,68,0.9906,333,0.51,114,7,White
6,0.27,0.32,NA,0.035,36,133,0.99215,323,0.46,108,6,White
62,0.23,0.36,NA,0.039,37,130,0.99946,323,0.43,88,6,White
76,0.22,0.34,NA,0.035,26,143,0.9965,308,0.49,98,6,White
81,1.33,0,18,0.082,3,12,0.9964,354,0.48,109,5,Red
75,0.29,0.67,NA,0.037,53,166,0.9966,29,0.41,89,6,White
74,0.18,0.3,NA,0.045,44,174,0.9966,311,0.57,97,6,White
102,0.54,0.37,154,0.214,55,95,1.00369,318,0.77,9,6,Red
78,0.5,0.3,19,0.075,8,22,0.9959,331,0.56,104,6,Red
57,0.385,0.04,NA,0.034,22,115,0.9964,328,0.63,99,6,White
76,0.48,0.31,NA,0.046,6,194,0.99714,307,0.61,94,5,White
75,0.27,0.79,NA,0.04,51,159,0.99839,298,0.44,87,5,White
75,0.34,0.28,4,0.028,46,100,0.98958,32,0.5,132,7,White
9,0.31,0.48,NA,0.043,11,73,0.9938,29,0.38,116,5,White
89,0.34,0.34,NA,0.056,13,176,0.9946,314,0.47,97,5,White
68,0.12,0.31,NA,0.045,29,120,0.9942,341,0.46,98,7,White
7,0.34,0.26,NA,0.041,51,166,0.99382,308,0.35,116,6,White
65,0.26,0.34,NA,0.051,56,197,1.0004,349,0.42,98,5,White
107,0.22,0.56,NA,0.044,37,181,0.998,287,0.68,95,6,White
68,0.56,0.03,17,0.084,18,35,0.9968,344,0.63,10,6,Red
68,0.39,0.35,NA,0.044,57,220,0.99775,307,0.53,93,5,White
67,0.18,0.28,NA,0.039,29,115,0.99469,311,0.45,109,7,White
74,0.21,0.27,NA,0.031,41,144,0.9932,315,0.38,118,7,White
6,0.29,0.41,NA,0.048,55,149,0.9937,309,0.59,109666700000000,7,White
126,0.41,0.54,28,0.103,19,41,0.99939,321,0.76,113,6,Red
105,0.59,0.49,21,0.07,14,47,0.9991,33,0.56,96,4,Red
8,0.27,0.57,NA,0.053,18,134,0.99732,312,0.68,9,5,White
95,0.59,0.44,23,0.071,21,68,0.9992,346,0.63,95,5,Red
6,0.19,0.29,NA,0.046,29,92,0.99033,322,0.53,113,6,White
87,0.29,0.52,16,0.113,12,37,0.9969,325,0.58,95,5,Red
72,0.24,0.29,NA,0.037,37,102,0.992,327,0.64,11,7,White
76,0.36,0.31,17,0.079,26,65,0.99716,346,0.62,95,6,Red
66,0.22,0.37,NA,0.059,45,199,0.993,337,0.55,103,7,White
62,0.26,0.19,NA,0.049,47,172,0.9924,314,0.43,104,6,White
79,0.29,0.49,22,0.096,21,59,0.99714,331,0.67,101,6,Red
58,0.13,0.26,NA,0.039,19,103,0.99478,336,0.47,93,6,White
66,0.725,0.2,78,0.073,29,79,0.9977,329,0.54,92,5,Red
7,0.25,0.45,NA,0.045,40,118,0.99064,316,0.48,119,7,White
61,0.255,0.44,NA,0.045,53,197,0.9967,324,0.54,95,6,White
88,0.685,0.26,16,0.088,16,23,0.99694,332,0.47,94,5,Red
67,0.28,0.14,NA,0.043,64,159,0.992,317,0.39,10,5,White
74,0.36,0.3,18,0.074,17,24,0.99419,324,0.7,114,8,Red
82,0.2,0.38,NA,0.053,41,174,0.99306,322,0.41,116,5,White
78,0.23,0.28,NA,0.042,45,166,0.9928,296,0.4,115,5,White
57,0.28,0.3,NA,0.026,36,105,0.98963,326,0.58,1275,6,White
72,0.685,0.21,NA,0.07,33,172,0.9971,3,0.55,91,6,White
66,0.26,0.27,NA,0.048,28,112,0.99606,287,0.49,97,6,White
73,0.37,0.16,NA,0.048,59,240,0.99902,313,0.45,89,5,White
71,0.36,0.28,NA,0.036,35,115,0.98936,319,0.44,135,7,White
82,0.915,0.27,21,0.088,7,23,0.9962,326,0.47,10,4,Red
52,0.44,0.04,NA,0.036,43,119,0.9894,336,0.33,121,8,White
